indx,tag,speaker,line,label,desc,bin_label
0,TEST_0_0,Moira," No, no, no! No, no, no! No! Noooo! ",,,0
1,TEST_0_1,Johnny, What? ,,,0
2,TEST_0_2,Moira, My bag! It's gone! ,,,0
3,TEST_0_3,Johnny, What bag? ,,,0
4,TEST_0_4,Moira, My brown bag! ,,,0
5,TEST_0_5,Johnny," What brown bag?You had a room full of brown bags back home, which brown bag?! ",,,0
6,TEST_0_6,Moira," My crocodile bag, the one my mother gave me! ",,,0
7,TEST_0_7,Johnny," Oh, it's in the closet, next to my briefcase. ",,,0
8,TEST_0_8,Moira, That's an ostrich bag. ,,,0
9,TEST_0_9,Johnny," Okay, just calm down, breathe, breathe. Breathe... breathe! ",,,0
10,TEST_1_10,Moira," Okay... David! David must've taken it, along with my last molecule of hope! ",SARCASTIC, Moira is being dramatic,1
11,TEST_0_11,Johnny," Oh Moira, David only took his own bags. ",,,0
12,TEST_0_12,Moira," Are you kidding?! I bet he's pawned it by now, to pay for manicures. ",,,0
13,TEST_0_13,Johnny," What possible sense would it make for David to take one of your bags? It doesn't... oh towels, great. ",,,0
14,TEST_0_14,Stevie," Mrs. Rose, you got out of bed. ",,,0
15,TEST_0_15,Moira, Humph! ,,,0
16,TEST_0_16,Stevie," Sorry, am I interrupting something? ",,,0
17,TEST_0_17,Johnny," No, no, we're just, we're looking for something valuable, and um... ",,,0
18,TEST_0_18,Stevie, Your son? ,,,0
19,TEST_0_19,Johnny," Well, no, a brown bag, as a matter of fact. Well... our son, yes. ",,,0
20,TEST_0_20,Stevie, Has anyone heard from David? ,,,0
21,TEST_0_21,Moira," Oh, to be so naive! He's long gone, darling, escaped, and left us all behind. ",,,0
22,TEST_0_22,Stevie," Okay, well uh... I've put in some calls to some people, just to get the word out. ",,,0
23,TEST_0_23,Johnny," Well, that's very nice. That's, very nice Stevie, thank you very much. That's, very considerate, because I know you and David had a...  Intimate uh, relationship. ",,,0
24,TEST_0_24,Stevie," Okay, I just came to drop off the towels, and check in, so. ",,,0
25,TEST_0_25,Alexis, Is that Stevie? Can you ask her if she has any extra bedspreads? ,,,0
26,TEST_0_26,Stevie, I'm still here! ,,,0
27,TEST_0_27,Alexis," Oh! Okay, then come here then, please, for a sec? ",,,0
28,TEST_0_28,Johnny," Yeah, um, come in. ",,,0
29,TEST_0_29,Alexis," Hey, does this place have any king sized sheets? ",,,0
30,TEST_0_30,Johnny," Alexis, what the hell are you doing?! ",,,0
31,TEST_0_31,Alexis," Just giving myself some more space. There's a lot going on in my life right now. Like, Ted keeps harassing me for an answer to the whole, am I gonna marry him thing, and then there's the whole Mutt issue, which is very complicated, and sexy, so I'm just, I don't know what to do. ",,,0
32,TEST_0_32,Stevie, I take it you haven't heard from David. ,,,0
33,TEST_0_33,Alexis," Okay, yeah, fine. And David's missing. So... ",,,0
34,TEST_0_34,Johnny," Yeah, well, he's missing. ",,,0
35,TEST_1_35,Johnny," Well, I can't find him, so what would you say he is? ",RHETORICAL, Johnny is frustrated and explaining the word �missing� in plain words,1
36,TEST_0_36,Johnny," Okay, you know what? You know what?! I don't think your mother would appreciate you speaking to me in that way! Well, I'm-I'm sorry for your loss. ",,,0
37,TEST_0_37,Moira, Oh! What'd they say! ,,,0
38,TEST_0_38,Johnny," Nothing, and I'm getting nervous, Moira. ",,,0
39,TEST_0_39,Moira," Don't worry, he's fine. It's not the first time David's run away, remember all those troubled years in high school, when he'd charter the jet without permission?",,,0
